Package Name,Package Type,Custodian,Current Version,Dependencies for Current,Newer Versions,Dependencies for Latest,Latest Version,Current Version Vulnerable?,Current Version Vulnerability Details,Upgrade Version Vulnerable?,Upgrade Vulnerability Details,Suggested Upgrade,Upgrade Instruction,Remarks
gunicorn,Dependency Package,I&S,23.0.0,"packaging; importlib-metadata; python_version < ""3.8""; eventlet!=0.36.0,>=0.24.1; extra == ""eventlet""; gevent>=1.4.0; extra == ""gevent""; setproctitle; extra == ""setproctitle""; gevent; extra == ""testing""; eventlet; extra == ""testing""; coverage; extra == ""testing""; pytest; extra == ""testing""; pytest-cov; extra == ""testing""; tornado>=0.2; extra == ""tornado""",,"packaging; importlib-metadata; python_version < ""3.8""; eventlet!=0.36.0,>=0.24.1; extra == ""eventlet""; gevent>=1.4.0; extra == ""gevent""; setproctitle; extra == ""setproctitle""; gevent; extra == ""testing""; eventlet; extra == ""testing""; coverage; extra == ""testing""; pytest; extra == ""testing""; pytest-cov; extra == ""testing""; tornado>=0.2; extra == ""tornado""",23.0.0,No,,No,None,23.0.0,"{'base_package': 'gunicorn==23.0.0', 'dependencies': ['packaging==25.0', 'importlib-metadata==8.7.0', 'eventlet==0.40.0', 'setproctitle==1.3.6', 'coverage==25.5.1', 'pytest==0.40.0', 'pytest-cov==7.8.1', 'tornado==8.3.5']}",
h5py,Dependency Package,I&S,3.12.1,numpy>=1.19.3,3.13.0,numpy>=1.19.3,3.13.0,No,,No,None,3.13.0,"{'base_package': 'h5py==3.13.0', 'dependencies': ['numpy==1.26.4']}",
html2text,Dependency Package,I&S,2020.1.16,,"2024.2.25, 2024.2.26, 2025.4.15",,2025.4.15,No,,No,None,2020.1.16,"{'base_package': 'html2text==2020.1.16', 'dependencies': []}",
huggingface-hub,Dependency Package,I&S,0.26.1,"filelock; fsspec>=2023.5.0; packaging>=20.9; pyyaml>=5.1; requests; tqdm>=4.42.1; typing-extensions>=3.7.4.3; InquirerPy==0.3.4; extra == ""all""; aiohttp; extra == ""all""; jedi; extra == ""all""; Jinja2; extra == ""all""; pytest<8.2.2,>=8.1.1; extra == ""all""; pytest-cov; extra == ""all""; pytest-env; extra == ""all""; pytest-xdist; extra == ""all""; pytest-vcr; extra == ""all""; pytest-asyncio; extra == ""all""; pytest-rerunfailures; extra == ""all""; pytest-mock; extra == ""all""; urllib3<2.0; extra == ""all""; soundfile; extra == ""all""; Pillow; extra == ""all""; gradio>=4.0.0; extra == ""all""; numpy; extra == ""all""; fastapi; extra == ""all""; ruff>=0.9.0; extra == ""all""; mypy==1.5.1; extra == ""all""; libcst==1.4.0; extra == ""all""; typing-extensions>=4.8.0; extra == ""all""; types-PyYAML; extra == ""all""; types-requests; extra == ""all""; types-simplejson; extra == ""all""; types-toml; extra == ""all""; types-tqdm; extra == ""all""; types-urllib3; extra == ""all""; InquirerPy==0.3.4; extra == ""cli""; InquirerPy==0.3.4; extra == ""dev""; aiohttp; extra == ""dev""; jedi; extra == ""dev""; Jinja2; extra == ""dev""; pytest<8.2.2,>=8.1.1; extra == ""dev""; pytest-cov; extra == ""dev""; pytest-env; extra == ""dev""; pytest-xdist; extra == ""dev""; pytest-vcr; extra == ""dev""; pytest-asyncio; extra == ""dev""; pytest-rerunfailures; extra == ""dev""; pytest-mock; extra == ""dev""; urllib3<2.0; extra == ""dev""; soundfile; extra == ""dev""; Pillow; extra == ""dev""; gradio>=4.0.0; extra == ""dev""; numpy; extra == ""dev""; fastapi; extra == ""dev""; ruff>=0.9.0; extra == ""dev""; mypy==1.5.1; extra == ""dev""; libcst==1.4.0; extra == ""dev""; typing-extensions>=4.8.0; extra == ""dev""; types-PyYAML; extra == ""dev""; types-requests; extra == ""dev""; types-simplejson; extra == ""dev""; types-toml; extra == ""dev""; types-tqdm; extra == ""dev""; types-urllib3; extra == ""dev""; toml; extra == ""fastai""; fastai>=2.4; extra == ""fastai""; fastcore>=1.3.27; extra == ""fastai""; hf-transfer>=0.1.4; extra == ""hf-transfer""; hf-xet<2.0.0,>=1.1.1; extra == ""hf-xet""; aiohttp; extra == ""inference""; ruff>=0.9.0; extra == ""quality""; mypy==1.5.1; extra == ""quality""; libcst==1.4.0; extra == ""quality""; tensorflow; extra == ""tensorflow""; pydot; extra == ""tensorflow""; graphviz; extra == ""tensorflow""; tensorflow; extra == ""tensorflow-testing""; keras<3.0; extra == ""tensorflow-testing""; InquirerPy==0.3.4; extra == ""testing""; aiohttp; extra == ""testing""; jedi; extra == ""testing""; Jinja2; extra == ""testing""; pytest<8.2.2,>=8.1.1; extra == ""testing""; pytest-cov; extra == ""testing""; pytest-env; extra == ""testing""; pytest-xdist; extra == ""testing""; pytest-vcr; extra == ""testing""; pytest-asyncio; extra == ""testing""; pytest-rerunfailures; extra == ""testing""; pytest-mock; extra == ""testing""; urllib3<2.0; extra == ""testing""; soundfile; extra == ""testing""; Pillow; extra == ""testing""; gradio>=4.0.0; extra == ""testing""; numpy; extra == ""testing""; fastapi; extra == ""testing""; torch; extra == ""torch""; safetensors[torch]; extra == ""torch""; typing-extensions>=4.8.0; extra == ""typing""; types-PyYAML; extra == ""typing""; types-requests; extra == ""typing""; types-simplejson; extra == ""typing""; types-toml; extra == ""typing""; types-tqdm; extra == ""typing""; types-urllib3; extra == ""typing""","0.26.2, 0.26.3, 0.26.4, 0.26.5, 0.27.0rc0, 0.27.0rc1, 0.27.0, 0.27.1, 0.28.0rc0, 0.28.0rc1, 0.28.0rc2, 0.28.0rc3, 0.28.0rc4, 0.28.0rc5, 0.28.0, 0.28.1, 0.29.0rc0, 0.29.0rc1, 0.29.0rc2, 0.29.0rc3, 0.29.0rc4, 0.29.0rc5, 0.29.0rc6, 0.29.0rc7, 0.29.0, 0.29.1, 0.29.2, 0.29.3rc0, 0.29.3, 0.30.0rc0, 0.30.0rc1, 0.30.0rc2, 0.30.0rc3, 0.30.0, 0.30.1, 0.30.2, 0.31.0rc0, 0.31.0, 0.31.1, 0.31.2, 0.31.3, 0.31.4, 0.32.0rc0","filelock; fsspec>=2023.5.0; packaging>=20.9; pyyaml>=5.1; requests; tqdm>=4.42.1; typing-extensions>=3.7.4.3; InquirerPy==0.3.4; extra == ""all""; aiohttp; extra == ""all""; jedi; extra == ""all""; Jinja2; extra == ""all""; pytest<8.2.2,>=8.1.1; extra == ""all""; pytest-cov; extra == ""all""; pytest-env; extra == ""all""; pytest-xdist; extra == ""all""; pytest-vcr; extra == ""all""; pytest-asyncio; extra == ""all""; pytest-rerunfailures; extra == ""all""; pytest-mock; extra == ""all""; urllib3<2.0; extra == ""all""; soundfile; extra == ""all""; Pillow; extra == ""all""; gradio>=4.0.0; extra == ""all""; numpy; extra == ""all""; fastapi; extra == ""all""; ruff>=0.9.0; extra == ""all""; mypy==1.5.1; extra == ""all""; libcst==1.4.0; extra == ""all""; typing-extensions>=4.8.0; extra == ""all""; types-PyYAML; extra == ""all""; types-requests; extra == ""all""; types-simplejson; extra == ""all""; types-toml; extra == ""all""; types-tqdm; extra == ""all""; types-urllib3; extra == ""all""; InquirerPy==0.3.4; extra == ""cli""; InquirerPy==0.3.4; extra == ""dev""; aiohttp; extra == ""dev""; jedi; extra == ""dev""; Jinja2; extra == ""dev""; pytest<8.2.2,>=8.1.1; extra == ""dev""; pytest-cov; extra == ""dev""; pytest-env; extra == ""dev""; pytest-xdist; extra == ""dev""; pytest-vcr; extra == ""dev""; pytest-asyncio; extra == ""dev""; pytest-rerunfailures; extra == ""dev""; pytest-mock; extra == ""dev""; urllib3<2.0; extra == ""dev""; soundfile; extra == ""dev""; Pillow; extra == ""dev""; gradio>=4.0.0; extra == ""dev""; numpy; extra == ""dev""; fastapi; extra == ""dev""; ruff>=0.9.0; extra == ""dev""; mypy==1.5.1; extra == ""dev""; libcst==1.4.0; extra == ""dev""; typing-extensions>=4.8.0; extra == ""dev""; types-PyYAML; extra == ""dev""; types-requests; extra == ""dev""; types-simplejson; extra == ""dev""; types-toml; extra == ""dev""; types-tqdm; extra == ""dev""; types-urllib3; extra == ""dev""; toml; extra == ""fastai""; fastai>=2.4; extra == ""fastai""; fastcore>=1.3.27; extra == ""fastai""; hf-transfer>=0.1.4; extra == ""hf-transfer""; hf-xet<2.0.0,>=1.1.1; extra == ""hf-xet""; aiohttp; extra == ""inference""; ruff>=0.9.0; extra == ""quality""; mypy==1.5.1; extra == ""quality""; libcst==1.4.0; extra == ""quality""; tensorflow; extra == ""tensorflow""; pydot; extra == ""tensorflow""; graphviz; extra == ""tensorflow""; tensorflow; extra == ""tensorflow-testing""; keras<3.0; extra == ""tensorflow-testing""; InquirerPy==0.3.4; extra == ""testing""; aiohttp; extra == ""testing""; jedi; extra == ""testing""; Jinja2; extra == ""testing""; pytest<8.2.2,>=8.1.1; extra == ""testing""; pytest-cov; extra == ""testing""; pytest-env; extra == ""testing""; pytest-xdist; extra == ""testing""; pytest-vcr; extra == ""testing""; pytest-asyncio; extra == ""testing""; pytest-rerunfailures; extra == ""testing""; pytest-mock; extra == ""testing""; urllib3<2.0; extra == ""testing""; soundfile; extra == ""testing""; Pillow; extra == ""testing""; gradio>=4.0.0; extra == ""testing""; numpy; extra == ""testing""; fastapi; extra == ""testing""; torch; extra == ""torch""; safetensors[torch]; extra == ""torch""; typing-extensions>=4.8.0; extra == ""typing""; types-PyYAML; extra == ""typing""; types-requests; extra == ""typing""; types-simplejson; extra == ""typing""; types-toml; extra == ""typing""; types-tqdm; extra == ""typing""; types-urllib3; extra == ""typing""",0.32.0rc0,No,,No,None,0.32.0rc0,"{'base_package': 'huggingface-hub==0.32.0rc0', 'dependencies': ['filelock==3.18.0', 'fsspec==2023.12.2', 'packaging==20.9', 'pyyaml==5.4.1', 'requests==2.32.3', 'tqdm==4.67.1', 'typing-extensions==3.10.0.2', 'InquirerPy==0.3.4', 'aiohttp==4.0.0a1', 'Jinja2==3.1.6', 'pytest==8.3.5', 'pytest-cov==6.1.1', 'pytest-env==1.1.5', 'pytest-xdist==3.6.1', 'pytest-vcr==1.0.2', 'pytest-asyncio==1.0.0a1', 'pytest-rerunfailures==15.1', 'pytest-mock==3.14.0', 'urllib3==2.4.0', 'soundfile==0.13.1', 'Pillow==11.2.1', 'numpy==2.2.6', 'fastapi==0.115.12', 'ruff==0.11.11', 'mypy==1.15.0', 'libcst==1.7.0', 'types-PyYAML==4.13.2', 'types-requests==6.0.12.20250516', 'types-simplejson==2.32.0.20250515', 'types-toml==3.20.0.20250326', 'types-tqdm==0.10.8.20240310', 'types-urllib3==4.67.0.20250516', 'toml==1.26.25.14', 'fastai==0.3.4', 'fastcore==0.3.4', 'hf-transfer==4.0.0a1', 'tensorflow==3.1.6', 'pydot==8.3.5', 'graphviz==6.1.1', 'keras==1.1.5', 'torch==3.6.1', 'safetensors==1.0.2']}",
identify,Dependency Package,I&S,2.6.1,"ukkonen; extra == ""license""","2.6.2, 2.6.3, 2.6.4, 2.6.5, 2.6.6, 2.6.7, 2.6.8, 2.6.9, 2.6.10","ukkonen; extra == ""license""",2.6.10,No,,No,None,2.6.10,"{'base_package': 'identify==2.6.10', 'dependencies': ['ukkonen==1.0.1']}",
inflect,Dependency Package,I&S,7.4.0,"more_itertools>=8.5.0; typeguard>=4.0.1; typing_extensions; python_version < ""3.9""; pytest!=8.1.*,>=6; extra == ""test""; pygments; extra == ""test""; sphinx>=3.5; extra == ""doc""; jaraco.packaging>=9.3; extra == ""doc""; rst.linker>=1.9; extra == ""doc""; furo; extra == ""doc""; sphinx-lint; extra == ""doc""; jaraco.tidelift>=1.4; extra == ""doc""; pytest-checkdocs>=2.4; extra == ""check""; pytest-ruff>=0.2.1; sys_platform != ""cygwin"" and extra == ""check""; pytest-cov; extra == ""cover""; pytest-enabler>=2.2; extra == ""enabler""; pytest-mypy; extra == ""type""",7.5.0,"more_itertools>=8.5.0; typeguard>=4.0.1; typing_extensions; python_version < ""3.9""; pytest!=8.1.*,>=6; extra == ""test""; pygments; extra == ""test""; sphinx>=3.5; extra == ""doc""; jaraco.packaging>=9.3; extra == ""doc""; rst.linker>=1.9; extra == ""doc""; furo; extra == ""doc""; sphinx-lint; extra == ""doc""; jaraco.tidelift>=1.4; extra == ""doc""; pytest-checkdocs>=2.4; extra == ""check""; pytest-ruff>=0.2.1; sys_platform != ""cygwin"" and extra == ""check""; pytest-cov; extra == ""cover""; pytest-enabler>=2.2; extra == ""enabler""; pytest-mypy; extra == ""type""",7.5.0,No,,No,None,7.5.0,"{'base_package': 'inflect==7.5.0', 'dependencies': ['more_itertools==8.14.0', 'typeguard==4.4.2', 'typing_extensions==4.13.2', 'pytest==6.2.5', 'pygments==2.19.1', 'sphinx==3.5.4', 'jaraco.packaging==9.7.1', 'rst.linker==1.11', 'furo==2024.8.6', 'sphinx-lint==1.0.0', 'jaraco.tidelift==1.5.1', 'pytest-checkdocs==2.13.0', 'pytest-ruff==0.4.1', 'pytest-cov==6.1.1', 'pytest-enabler==2.3.1', 'pytest-mypy==1.0.1']}",
installer,Dependency Package,I&S,0.7.0,,,,0.7.0,No,,No,None,0.7.0,"{'base_package': 'installer==0.7.0', 'dependencies': []}",
interpret-community,Dependency Package,I&S,0.31.0,"numpy; pandas; scipy; ml-wrappers~=0.6.0; scikit-learn; packaging; interpret-core<=0.6.9,>=0.1.20; shap<=0.46.0,>=0.20.0; raiutils~=0.4.0; hdbscan; extra == ""sample""; tensorflow; extra == ""deep""; pyyaml; extra == ""deep""; keras; extra == ""deep""; lightgbm; extra == ""mimic""; lime>=0.2.0.0; extra == ""lime""",0.32.0,"numpy; pandas; scipy; ml-wrappers~=0.6.0; scikit-learn; packaging; interpret-core<=0.6.9,>=0.1.20; shap<=0.46.0,>=0.20.0; raiutils~=0.4.0; hdbscan; extra == ""sample""; tensorflow; extra == ""deep""; pyyaml; extra == ""deep""; keras; extra == ""deep""; lightgbm; extra == ""mimic""; lime>=0.2.0.0; extra == ""lime""",0.32.0,No,,No,None,0.32.0,"{'base_package': 'interpret-community==0.32.0', 'dependencies': ['numpy==2.2.6', 'pandas==2.2.3', 'scipy==1.16.0rc1', 'ml-wrappers==0.6.0', 'scikit-learn==1.7.0rc1', 'packaging==25.0', 'interpret-core==0.6.10', 'shap==0.47.2', 'raiutils==0.4.2', 'hdbscan==0.8.40', 'tensorflow==2.19.0', 'pyyaml==6.0.2', 'keras==3.10.0', 'lightgbm==4.6.0', 'lime==0.2.0.1']}",
interpret-core,Dependency Package,I&S,0.5.0,"numpy>=1.25; pandas>=0.19.2; scikit-learn>=0.18.1; joblib>=0.11; psutil>=5.6.2; extra == ""debug""; ipykernel>=4.10.0; extra == ""notebook""; ipython>=5.5.0; extra == ""notebook""; plotly>=3.8.1; extra == ""plotly""; lime>=0.1.1.33; extra == ""lime""; SALib>=1.3.3; extra == ""sensitivity""; shap>=0.28.5; extra == ""shap""; dill>=0.2.5; extra == ""shap""; skope-rules>=1.0.1; extra == ""skoperules""; treeinterpreter>=0.2.2; extra == ""treeinterpreter""; aplr>=10.6.1; extra == ""aplr""; dash<3.0.0,>=1.0.0; extra == ""dash""; dash-core-components>=1.0.0; extra == ""dash""; dash-html-components>=1.0.0; extra == ""dash""; dash-table>=4.1.0; extra == ""dash""; dash-cytoscape>=0.1.1; extra == ""dash""; gevent>=1.3.6; extra == ""dash""; requests>=2.19.0; extra == ""dash""; scipy>=0.18.1; extra == ""testing""; scikit-learn>=1.0.0; extra == ""testing""; pytest>=4.3.0; extra == ""testing""; pytest-runner>=4.4; extra == ""testing""; pytest-xdist>=1.29; extra == ""testing""; nbconvert>=5.4.1; extra == ""testing""; selenium>=3.141.0; extra == ""testing""; pytest-cov>=2.6.1; extra == ""testing""; ruff>=0.1.2; extra == ""testing""; jupyter>=1.0.0; extra == ""testing""; ipywidgets>=7.4.2; extra == ""testing""","0.5.1, 0.6.0, 0.6.1, 0.6.2, 0.6.3, 0.6.4, 0.6.5, 0.6.6, 0.6.7, 0.6.8, 0.6.9, 0.6.10","numpy>=1.25; pandas>=0.19.2; scikit-learn>=0.18.1; joblib>=0.11; psutil>=5.6.2; extra == ""debug""; ipykernel>=4.10.0; extra == ""notebook""; ipython>=5.5.0; extra == ""notebook""; plotly>=3.8.1; extra == ""plotly""; lime>=0.1.1.33; extra == ""lime""; SALib>=1.3.3; extra == ""sensitivity""; shap>=0.28.5; extra == ""shap""; dill>=0.2.5; extra == ""shap""; skope-rules>=1.0.1; extra == ""skoperules""; treeinterpreter>=0.2.2; extra == ""treeinterpreter""; aplr>=10.6.1; extra == ""aplr""; dash<3.0.0,>=1.0.0; extra == ""dash""; dash-core-components>=1.0.0; extra == ""dash""; dash-html-components>=1.0.0; extra == ""dash""; dash-table>=4.1.0; extra == ""dash""; dash-cytoscape>=0.1.1; extra == ""dash""; gevent>=1.3.6; extra == ""dash""; requests>=2.19.0; extra == ""dash""; scipy>=0.18.1; extra == ""testing""; scikit-learn>=1.0.0; extra == ""testing""; pytest>=4.3.0; extra == ""testing""; pytest-runner>=4.4; extra == ""testing""; pytest-xdist>=1.29; extra == ""testing""; nbconvert>=5.4.1; extra == ""testing""; selenium>=3.141.0; extra == ""testing""; pytest-cov>=2.6.1; extra == ""testing""; ruff>=0.1.2; extra == ""testing""; jupyter>=1.0.0; extra == ""testing""; ipywidgets>=7.4.2; extra == ""testing""",0.6.10,No,,No,None,0.6.10,"{'base_package': 'interpret-core==0.6.10', 'dependencies': ['numpy==1.26.4', 'psutil==5.9.8', 'ipykernel==4.10.1', 'plotly==3.10.0', 'lime==0.2.0.1', 'SALib==1.5.1', 'shap==0.47.2', 'dill==0.4.0', 'skope-rules==1.0.1', 'treeinterpreter==0.2.3', 'aplr==10.9.0', 'dash-table==4.12.0', 'dash-cytoscape==0.3.0', 'requests==2.32.3', 'pytest==1.7.0rc1', 'pytest-runner==4.6.11', 'pytest-xdist==4.5.1', 'nbconvert==1.34.0', 'ruff==2.12.1', 'jupyter==0.11.11', 'ipywidgets==1.1.1']}",
ipywidgets,Dependency Package,I&S,8.1.5,"comm>=0.1.3; ipython>=6.1.0; traitlets>=4.3.1; widgetsnbextension~=4.0.14; jupyterlab_widgets~=3.0.15; jsonschema; extra == ""test""; ipykernel; extra == ""test""; pytest>=3.6.0; extra == ""test""; pytest-cov; extra == ""test""; pytz; extra == ""test""","8.1.6, 8.1.7","comm>=0.1.3; ipython>=6.1.0; traitlets>=4.3.1; widgetsnbextension~=4.0.14; jupyterlab_widgets~=3.0.15; jsonschema; extra == ""test""; ipykernel; extra == ""test""; pytest>=3.6.0; extra == ""test""; pytest-cov; extra == ""test""; pytz; extra == ""test""",8.1.7,No,,No,None,8.1.7,"{'base_package': 'ipywidgets==8.1.7', 'dependencies': ['comm==0.2.2', 'traitlets==4.3.3', 'widgetsnbextension==4.0.14', 'jupyterlab_widgets==3.0.15', 'jsonschema==4.23.0', 'ipykernel==7.0.0a1', 'pytest==3.10.1', 'pytest-cov==6.1.1']}",
isort,Dependency Package,I&S,5.13.2,"colorama; extra == ""colors""; setuptools; extra == ""plugins""","6.0.0a1, 6.0.0b1, 6.0.0b2, 6.0.0, 6.0.1","colorama; extra == ""colors""; setuptools; extra == ""plugins""",6.0.1,No,,No,None,5.13.2,"{'base_package': 'isort==5.13.2', 'dependencies': ['colorama==0.4.6', 'setuptools==80.8.0']}",
itsdangerous,Dependency Package,I&S,2.2.0,,,,2.2.0,No,,No,None,2.2.0,"{'base_package': 'itsdangerous==2.2.0', 'dependencies': []}",
jellyfish,Dependency Package,I&S,1.1.0,,"1.1.2, 1.1.3, 1.2.0",,1.2.0,No,,No,None,1.2.0,"{'base_package': 'jellyfish==1.2.0', 'dependencies': []}",
jiter,Dependency Package,I&S,0.6.1,,"0.7.0, 0.7.1, 0.8.0, 0.8.2, 0.9.0, 0.9.1, 0.10.0",,0.10.0,No,,No,None,0.10.0,"{'base_package': 'jiter==0.10.0', 'dependencies': []}",
jsonpatch,Dependency Package,I&S,1.33,jsonpointer (>=1.9),,jsonpointer (>=1.9),1.33,No,,No,None,1.33,"{'base_package': 'jsonpatch==1.33', 'dependencies': ['jsonpointer==1.14']}",
jupyterlab-widgets,Dependency Package,I&S,3.0.13,,"3.0.14, 3.0.15",,3.0.15,No,,No,None,3.0.15,"{'base_package': 'jupyterlab-widgets==3.0.15', 'dependencies': []}",
keras,Dependency Package,I&S,3.5.0,absl-py; numpy; rich; namex; h5py; optree; ml-dtypes; packaging,"3.6.0, 3.7.0, 3.8.0, 3.9.0, 3.9.1, 3.9.2, 3.10.0",absl-py; numpy; rich; namex; h5py; optree; ml-dtypes; packaging,3.10.0,Yes,"CVE-2025-1550, CVSS_V4, Arbitrary Code Execution via Crafted Keras Config for Model Loading, CVSS:4.0/AV:L/AC:L/AT:P/PR:L/UI:A/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H, affects: >=3.0.0,<3.9.0
CVE-2024-55459, CVSS_V4, keras Path Traversal vulnerability, CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:N/VI:H/VA:N/SC:N/SI:N/SA:N/E:P, affects: >=0",Yes,"3.6.0: CVE-2025-1550, CVSS_V4, Arbitrary Code Execution via Crafted Keras Config for Model Loading, CVSS:4.0/AV:L/AC:L/AT:P/PR:L/UI:A/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H, affects: >=3.0.0,<3.9.0
CVE-2024-55459, CVSS_V4, keras Path Traversal vulnerability, CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:N/VI:H/VA:N/SC:N/SI:N/SA:N/E:P, affects: >=0; 3.8.0: CVE-2025-1550, CVSS_V4, Arbitrary Code Execution via Crafted Keras Config for Model Loading, CVSS:4.0/AV:L/AC:L/AT:P/PR:L/UI:A/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H, affects: >=3.0.0,<3.9.0; 3.7.0: CVE-2025-1550, CVSS_V4, Arbitrary Code Execution via Crafted Keras Config for Model Loading, CVSS:4.0/AV:L/AC:L/AT:P/PR:L/UI:A/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H, affects: >=3.0.0,<3.9.0
CVE-2024-55459, CVSS_V4, keras Path Traversal vulnerability, CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:N/VI:H/VA:N/SC:N/SI:N/SA:N/E:P, affects: >=0",3.10.0,"{'base_package': 'keras==3.10.0', 'dependencies': ['absl-py==2.2.2', 'numpy==2.2.6', 'rich==14.0.0', 'namex==0.0.9', 'optree==0.15.0', 'ml-dtypes==0.5.1', 'packaging==25.0']}",Not Used
keyring,Dependency Package,I&S,25.4.1,"pywin32-ctypes>=0.2.0; sys_platform == ""win32""; SecretStorage>=3.2; sys_platform == ""linux""; jeepney>=0.4.2; sys_platform == ""linux""; importlib_metadata>=4.11.4; python_version < ""3.12""; jaraco.classes; importlib_resources; python_version < ""3.9""; jaraco.functools; jaraco.context; pytest!=8.1.*,>=6; extra == ""test""; pyfakefs; extra == ""test""; sphinx>=3.5; extra == ""doc""; jaraco.packaging>=9.3; extra == ""doc""; rst.linker>=1.9; extra == ""doc""; furo; extra == ""doc""; sphinx-lint; extra == ""doc""; jaraco.tidelift>=1.4; extra == ""doc""; pytest-checkdocs>=2.4; extra == ""check""; pytest-ruff>=0.2.1; sys_platform != ""cygwin"" and extra == ""check""; pytest-cov; extra == ""cover""; pytest-enabler>=2.2; extra == ""enabler""; pytest-mypy; extra == ""type""; pygobject-stubs; extra == ""type""; shtab; extra == ""type""; types-pywin32; extra == ""type""; shtab>=1.1.0; extra == ""completion""","25.5.0, 25.6.0","pywin32-ctypes>=0.2.0; sys_platform == ""win32""; SecretStorage>=3.2; sys_platform == ""linux""; jeepney>=0.4.2; sys_platform == ""linux""; importlib_metadata>=4.11.4; python_version < ""3.12""; jaraco.classes; importlib_resources; python_version < ""3.9""; jaraco.functools; jaraco.context; pytest!=8.1.*,>=6; extra == ""test""; pyfakefs; extra == ""test""; sphinx>=3.5; extra == ""doc""; jaraco.packaging>=9.3; extra == ""doc""; rst.linker>=1.9; extra == ""doc""; furo; extra == ""doc""; sphinx-lint; extra == ""doc""; jaraco.tidelift>=1.4; extra == ""doc""; pytest-checkdocs>=2.4; extra == ""check""; pytest-ruff>=0.2.1; sys_platform != ""cygwin"" and extra == ""check""; pytest-cov; extra == ""cover""; pytest-enabler>=2.2; extra == ""enabler""; pytest-mypy; extra == ""type""; pygobject-stubs; extra == ""type""; shtab; extra == ""type""; types-pywin32; extra == ""type""; shtab>=1.1.0; extra == ""completion""",25.6.0,No,,No,None,25.6.0,"{'base_package': 'keyring==25.6.0', 'dependencies': ['pywin32-ctypes==0.2.3', 'SecretStorage==3.3.3', 'jeepney==0.9.0', 'importlib_metadata==4.13.0', 'jaraco.classes==3.4.0', 'importlib_resources==6.5.2', 'jaraco.functools==4.1.0', 'jaraco.context==6.0.1', 'pytest==6.2.5', 'pyfakefs==5.8.0', 'sphinx==3.5.4', 'jaraco.packaging==9.7.1', 'rst.linker==1.11', 'furo==2024.8.6', 'sphinx-lint==1.0.0', 'jaraco.tidelift==1.5.1', 'pytest-checkdocs==2.13.0', 'pytest-ruff==0.4.1', 'pytest-cov==6.1.1', 'pytest-enabler==2.3.1', 'pytest-mypy==1.0.1', 'pygobject-stubs==2.13.0', 'shtab==1.7.2', 'types-pywin32==310.0.0.20250516']}",
